candle_end_time,open,close,high,low,volume
2020-04-14 09:30:00,4.50,4.50,4.51,4.49,21920.00
2020-04-14 09:31:00,4.50,4.49,4.50,4.49,3354.00
2020-04-14 09:32:00,4.49,4.50,4.50,4.49,4028.00
2020-04-14 09:33:00,4.49,4.50,4.50,4.49,3956.00
2020-04-14 09:34:00,4.50,4.49,4.50,4.49,4843.00
2020-04-14 09:35:00,4.49,4.48,4.50,4.48,67914.00
2020-04-14 09:36:00,4.48,4.48,4.48,4.47,11714.00
2020-04-14 09:37:00,4.48,4.48,4.48,4.47,9403.00
2020-04-14 09:38:00,4.48,4.48,4.48,4.47,2263.00
2020-04-14 09:39:00,4.48,4.47,4.48,4.47,2560.00
2020-04-14 09:40:00,4.47,4.47,4.48,4.47,12025.00
2020-04-14 09:41:00,4.47,4.48,4.48,4.47,4851.00
2020-04-14 09:42:00,4.48,4.48,4.48,4.47,12033.00
2020-04-14 09:43:00,4.48,4.48,4.49,4.48,7985.00
2020-04-14 09:44:00,4.48,4.48,4.48,4.47,4588.00
2020-04-14 09:45:00,4.48,4.48,4.48,4.47,4653.00
2020-04-14 09:46:00,4.48,4.47,4.49,4.47,6287.00
2020-04-14 09:47:00,4.47,4.48,4.49,4.47,6111.00
2020-04-14 09:48:00,4.48,4.49,4.49,4.48,2612.00
2020-04-14 09:49:00,4.49,4.49,4.49,4.48,517.00
2020-04-14 09:50:00,4.49,4.48,4.49,4.48,1915.00
2020-04-14 09:51:00,4.48,4.48,4.49,4.48,2643.00
2020-04-14 09:52:00,4.48,4.49,4.49,4.48,1406.00
2020-04-14 09:53:00,4.49,4.48,4.49,4.48,2071.00
2020-04-14 09:54:00,4.48,4.49,4.49,4.48,1985.00
2020-04-14 09:55:00,4.49,4.48,4.49,4.48,1185.00
2020-04-14 09:56:00,4.48,4.49,4.49,4.48,2210.00
2020-04-14 09:57:00,4.49,4.49,4.49,4.48,1087.00
2020-04-14 09:58:00,4.48,4.49,4.49,4.48,1339.00
2020-04-14 09:59:00,4.49,4.49,4.49,4.48,5047.00
2020-04-14 10:00:00,4.49,4.49,4.49,4.48,2128.00
2020-04-14 10:01:00,4.49,4.49,4.49,4.48,771.00
2020-04-14 10:02:00,4.48,4.49,4.49,4.48,1809.00
2020-04-14 10:03:00,4.49,4.48,4.49,4.48,1929.00
2020-04-14 10:04:00,4.49,4.49,4.49,4.48,792.00
2020-04-14 10:05:00,4.49,4.49,4.49,4.48,2185.00
2020-04-14 10:06:00,4.49,4.48,4.49,4.48,571.00
2020-04-14 10:07:00,4.48,4.49,4.49,4.48,1682.00
2020-04-14 10:08:00,4.48,4.48,4.49,4.48,1409.00
2020-04-14 10:09:00,4.48,4.48,4.49,4.48,1299.00
2020-04-14 10:10:00,4.48,4.48,4.49,4.48,2234.00
2020-04-14 10:11:00,4.49,4.48,4.49,4.48,1994.00
2020-04-14 10:12:00,4.49,4.49,4.49,4.48,743.00
2020-04-14 10:13:00,4.49,4.48,4.49,4.48,2127.00
2020-04-14 10:14:00,4.48,4.49,4.49,4.48,1010.00
2020-04-14 10:15:00,4.49,4.49,4.49,4.48,1227.00
2020-04-14 10:16:00,4.49,4.49,4.49,4.48,2111.00
2020-04-14 10:17:00,4.49,4.49,4.49,4.48,647.00
2020-04-14 10:18:00,4.49,4.48,4.49,4.48,2152.00
2020-04-14 10:19:00,4.48,4.49,4.49,4.48,358.00
2020-04-14 10:20:00,4.49,4.48,4.49,4.48,548.00
2020-04-14 10:21:00,4.48,4.49,4.49,4.48,815.00
2020-04-14 10:22:00,4.49,4.49,4.49,4.48,2078.00
2020-04-14 10:23:00,4.49,4.49,4.49,4.48,575.00
2020-04-14 10:24:00,4.49,4.49,4.49,4.48,3454.00
2020-04-14 10:25:00,4.49,4.49,4.49,4.48,2188.00
2020-04-14 10:26:00,4.49,4.49,4.49,4.48,21483.00
2020-04-14 10:27:00,4.49,4.49,4.50,4.49,12780.00
2020-04-14 10:28:00,4.49,4.50,4.50,4.49,2596.00
2020-04-14 10:29:00,4.50,4.50,4.50,4.49,1535.00
2020-04-14 10:30:00,4.50,4.50,4.50,4.49,5748.00
2020-04-14 10:31:00,4.50,4.49,4.50,4.49,1076.00
2020-04-14 10:32:00,4.49,4.49,4.50,4.49,1005.00
2020-04-14 10:33:00,4.49,4.50,4.50,4.49,492.00
2020-04-14 10:34:00,4.50,4.50,4.50,4.49,918.00
2020-04-14 10:35:00,4.50,4.49,4.50,4.49,314.00
2020-04-14 10:36:00,4.50,4.50,4.50,4.49,544.00
2020-04-14 10:37:00,4.50,4.49,4.50,4.49,7502.00
2020-04-14 10:38:00,4.49,4.50,4.50,4.49,4641.00
2020-04-14 10:39:00,4.50,4.49,4.50,4.49,2833.00
2020-04-14 10:40:00,4.49,4.49,4.50,4.49,12651.00
2020-04-14 10:41:00,4.49,4.49,4.50,4.49,5336.00
2020-04-14 10:42:00,4.49,4.49,4.50,4.49,1128.00
2020-04-14 10:43:00,4.49,4.49,4.50,4.49,202.00
2020-04-14 10:44:00,4.49,4.50,4.50,4.49,407.00
2020-04-14 10:45:00,4.50,4.49,4.50,4.49,2608.00
2020-04-14 10:46:00,4.49,4.50,4.50,4.49,857.00
2020-04-14 10:47:00,4.50,4.50,4.50,4.49,782.00
2020-04-14 10:48:00,4.50,4.50,4.50,4.49,453.00
2020-04-14 10:49:00,4.50,4.50,4.50,4.49,577.00
2020-04-14 10:50:00,4.50,4.50,4.50,4.49,1908.00
2020-04-14 10:51:00,4.50,4.50,4.50,4.49,373.00
2020-04-14 10:52:00,4.50,4.49,4.50,4.49,1595.00
2020-04-14 10:53:00,4.49,4.49,4.50,4.49,227.00
2020-04-14 10:54:00,4.49,4.49,4.50,4.49,1626.00
2020-04-14 10:55:00,4.49,4.49,4.50,4.49,2592.00
2020-04-14 10:56:00,4.49,4.50,4.50,4.49,396.00
2020-04-14 10:57:00,4.50,4.49,4.50,4.49,347.00
2020-04-14 10:58:00,4.49,4.49,4.50,4.49,299.00
2020-04-14 10:59:00,4.49,4.49,4.50,4.49,1256.00
2020-04-14 11:00:00,4.49,4.50,4.50,4.49,3179.00
2020-04-14 11:01:00,4.50,4.49,4.50,4.49,1033.00
2020-04-14 11:02:00,4.49,4.50,4.50,4.49,1281.00
2020-04-14 11:03:00,4.50,4.49,4.50,4.49,548.00
2020-04-14 11:04:00,4.49,4.49,4.50,4.49,1521.00
2020-04-14 11:05:00,4.49,4.49,4.50,4.49,1473.00
2020-04-14 11:06:00,4.49,4.49,4.50,4.49,1302.00
2020-04-14 11:07:00,4.49,4.49,4.50,4.49,291.00
2020-04-14 11:08:00,4.49,4.50,4.50,4.49,370.00
2020-04-14 11:09:00,4.50,4.49,4.50,4.49,639.00
2020-04-14 11:10:00,4.49,4.50,4.50,4.49,888.00
2020-04-14 11:11:00,4.50,4.49,4.50,4.49,277.00
